match_id,source_actual_match_id,winner,method
KO-073,KO-073,Canada,direct
KO-074,KO-074,Paraguay,penalties
KO-075,KO-075,Morocco,penalties
KO-076,KO-076,Brazil,direct
KO-077,KO-077,Norway,direct
KO-078,KO-078,France,direct
KO-080,KO-080,Egypt,penalties
KO-081,KO-081,Argentina,direct
KO-082,KO-082,Spain,direct
KO-083,KO-083,Belgium,direct
KO-084,KO-084,Colombia,direct
KO-085,KO-085,England,direct
KO-086,KO-086,Mexico,direct
KO-087,KO-087,Portugal,direct
KO-088,KO-088,Switzerland,direct
