match_id,team,shots,shots_on_target,possession,xg,big_chances,corners,yellow_cards,red_cards,passes_into_final_third,fouls,offsides,saves,accurate_passes,total_passes,pass_pct,accurate_crosses,total_crosses,blocked_shots,total_tackles,interceptions,clearances,match_momentum,momentum_last_15,dominance_index,attacking_pressure_index,data_completeness,source
KO-073,Canada,12.0,7.0,41.6,,,4.0,2.0,0.0,,16.0,0.0,1.0,298.0,379.0,0.8,5.0,13.0,0.0,20.0,8.0,16.0,,,55.55,76.2,partial_no_timeline_momentum_no_xg,ESPN
KO-073,South Africa,6.0,1.0,58.4,,,1.0,0.0,0.0,,10.0,1.0,5.0,466.0,554.0,0.8,2.0,7.0,1.0,22.0,15.0,33.0,,,44.45,23.8,partial_no_timeline_momentum_no_xg,ESPN
KO-075,Germany,21.0,6.0,75.6,,,16.0,2.0,0.0,,18.0,4.0,2.0,725.0,805.0,0.9,9.0,55.0,8.0,13.0,4.0,23.0,,,73.78,70.86,partial_no_timeline_momentum_no_xg,ESPN
KO-075,Paraguay,7.0,3.0,24.4,,,6.0,2.0,0.0,,12.0,1.0,6.0,160.0,255.0,0.6,6.0,21.0,2.0,33.0,13.0,55.0,,,26.22,29.14,partial_no_timeline_momentum_no_xg,ESPN
KO-076,Morocco,11.0,5.0,70.1,,,8.0,1.0,0.0,,15.0,0.0,1.0,801.0,879.0,0.9,4.0,18.0,2.0,19.0,11.0,34.0,,,69.34,67.64,partial_no_timeline_momentum_no_xg,ESPN
KO-076,Netherlands,6.0,2.0,29.9,,,5.0,0.0,0.0,,18.0,3.0,5.0,292.0,371.0,0.8,3.0,10.0,3.0,19.0,11.0,22.0,,,30.66,32.36,partial_no_timeline_momentum_no_xg,ESPN
KO-077,Ivory Coast,14.0,5.0,47.1,,,14.0,0.0,0.0,,6.0,2.0,1.0,339.0,401.0,0.8,7.0,29.0,1.0,24.0,4.0,11.0,,,51.24,61.4,partial_no_timeline_momentum_no_xg,ESPN
KO-077,Norway,9.0,4.0,52.9,,,3.0,1.0,0.0,,7.0,2.0,4.0,415.0,473.0,0.9,5.0,10.0,3.0,19.0,6.0,37.0,,,48.76,38.6,partial_no_timeline_momentum_no_xg,ESPN
KO-078,France,25.0,12.0,61.0,,,9.0,0.0,0.0,,14.0,3.0,3.0,484.0,551.0,0.9,4.0,17.0,4.0,13.0,5.0,23.0,,,67.79,79.04,partial_no_timeline_momentum_no_xg,ESPN
KO-078,Sweden,8.0,3.0,39.0,,,1.0,0.0,0.0,,10.0,1.0,9.0,278.0,350.0,0.8,3.0,11.0,1.0,13.0,12.0,26.0,,,32.21,20.96,partial_no_timeline_momentum_no_xg,ESPN
KO-082,Austria,5.0,0.0,35.6,,,0.0,1.0,0.0,,15.0,5.0,6.0,285.0,347.0,0.8,3.0,13.0,1.0,16.0,6.0,21.0,,,24.92,8.02,partial_no_timeline_momentum_no_xg,ESPN
KO-082,Spain,23.0,10.0,64.4,,,9.0,0.0,0.0,,8.0,2.0,0.0,570.0,629.0,0.9,7.0,21.0,7.0,19.0,6.0,15.0,,,75.08,91.98,partial_no_timeline_momentum_no_xg,ESPN
KO-084,Colombia,20.0,8.0,60.6,,,3.0,2.0,0.0,,14.0,2.0,0.0,532.0,586.0,0.9,5.0,15.0,4.0,12.0,5.0,25.0,,,70.71,80.92,partial_no_timeline_momentum_no_xg,ESPN
KO-084,Ghana,8.0,0.0,39.4,,,2.0,3.0,0.0,,10.0,0.0,7.0,313.0,377.0,0.8,2.0,15.0,5.0,13.0,5.0,11.0,,,29.29,19.08,partial_no_timeline_momentum_no_xg,ESPN
WC-001,Mexico,16.0,4.0,60.5,,,3.0,1.0,1.0,,12.0,1.0,2.0,467.0,520.0,0.9,4.0,12.0,5.0,12.0,8.0,15.0,,,66.57,72.1,partial_no_timeline_momentum_no_xg,ESPN
WC-001,South Africa,3.0,2.0,39.5,,,1.0,2.0,2.0,,11.0,1.0,2.0,272.0,334.0,0.8,1.0,8.0,0.0,14.0,7.0,17.0,,,33.43,27.9,partial_no_timeline_momentum_no_xg,ESPN
WC-003,Czech Republic,14.0,3.0,38.3,,,5.0,1.0,0.0,,12.0,2.0,3.0,272.0,341.0,0.8,7.0,16.0,3.0,12.0,9.0,22.0,,,40.44,44.41,partial_no_timeline_momentum_no_xg,ESPN
WC-003,South Africa,17.0,4.0,61.7,,,5.0,2.0,0.0,,10.0,3.0,2.0,508.0,563.0,0.9,4.0,17.0,8.0,20.0,9.0,24.0,,,59.56,55.59,partial_no_timeline_momentum_no_xg,ESPN
WC-008,Qatar,6.0,3.0,32.0,,,3.0,2.0,0.0,,12.0,0.0,5.0,200.0,278.0,0.7,1.0,9.0,0.0,14.0,11.0,31.0,,,29.09,26.0,partial_no_timeline_momentum_no_xg,ESPN
WC-008,Switzerland,26.0,7.0,68.0,,,10.0,1.0,0.0,,11.0,1.0,3.0,527.0,576.0,0.9,6.0,35.0,9.0,8.0,7.0,13.0,,,70.91,74.0,partial_no_timeline_momentum_no_xg,ESPN
WC-010,Canada,32.0,10.0,79.0,,,19.0,1.0,0.0,,9.0,1.0,0.0,515.0,567.0,0.9,13.0,55.0,14.0,9.0,6.0,3.0,,,85.92,95.43,partial_no_timeline_momentum_no_xg,ESPN
WC-010,Qatar,2.0,0.0,21.0,,,1.0,1.0,2.0,,10.0,1.0,4.0,104.0,162.0,0.6,1.0,3.0,1.0,16.0,10.0,61.0,,,14.08,4.57,partial_no_timeline_momentum_no_xg,ESPN
WC-011,Canada,13.0,7.0,44.8,,,7.0,2.0,0.0,,13.0,3.0,2.0,271.0,339.0,0.8,6.0,26.0,3.0,9.0,12.0,19.0,,,52.96,65.78,partial_no_timeline_momentum_no_xg,ESPN
